Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4367,,,,,C5,20445,C5,N27200,4367,14576,1457607,34576,ROC,"Rochester, NY",NY,36,New York,22,12264,1226403,30852,IAD,"Washington, DC",VA,51,Virginia,38,1022,1034,12,12,0,0,1000-1059,15,1049,1134,22,1155,1156,1,1,0,0,1100-1159,0,,0,93,82,45,1,287,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4366,,,,,C5,20445,C5,N14125,4366,12264,1226403,30852,IAD,"Washington, DC",VA,51,Virginia,38,14574,1457407,34574,ROA,"Roanoke, VA",VA,51,Virginia,38,1810,1801,-9,0,0,-1,1800-1859,19,1820,1906,10,1931,1916,-15,0,0,-1,1900-1959,0,,0,81,75,46,1,177,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4365,,,,,C5,20445,C5,N17196,4365,10747,1074707,30747,BRO,"Brownsville, TX",TX,48,Texas,74,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,1725,1715,-10,0,0,-1,1700-1759,33,1748,1841,7,1852,1848,-4,0,0,-1,1800-1859,0,,0,87,93,53,1,308,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4363,,,,,C5,20445,C5,N16170,4363,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,13851,1385104,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,1225,1215,-10,0,0,-1,1200-1259,17,1232,1336,11,1405,1347,-18,0,0,-2,1400-1459,0,,0,100,92,64,1,395,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4362,,,,,C5,20445,C5,N10156,4362,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,12206,1220606,32206,HRL,"Harlingen/San Benito, TX",TX,48,Texas,74,1835,1832,-3,0,0,-1,1800-1859,24,1856,1950,4,2001,1954,-7,0,0,-1,2000-2059,0,,0,86,82,54,1,295,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4361,,,,,C5,20445,C5,N21197,4361,11140,1114009,31140,CRP,"Corpus Christi, TX",TX,48,Texas,74,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,1410,1359,-11,0,0,-1,1400-1459,17,1416,1455,8,1521,1503,-18,0,0,-2,1500-1559,0,,0,71,64,39,1,201,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4360,,,,,C5,20445,C5,N33182,4360,12264,1226403,30852,IAD,"Washington, DC",VA,51,Virginia,38,15096,1509602,35096,SYR,"Syracuse, NY",NY,36,New York,22,1240,1234,-6,0,0,-1,1200-1259,40,1314,1403,4,1407,1407,0,0,0,0,1400-1459,0,,0,87,93,49,1,295,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4358,,,,,C5,20445,C5,N11192,4358,12951,1295107,32951,LFT,"Lafayette, LA",LA,22,Louisiana,72,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,1610,1611,1,1,0,0,1600-1659,23,1634,1715,7,1725,1722,-3,0,0,-1,1700-1759,0,,0,75,71,41,1,201,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4356,,,,,C5,20445,C5,N14153,4356,12951,1295107,32951,LFT,"Lafayette, LA",LA,22,Louisiana,72,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,1210,1208,-2,0,0,-1,1200-1259,14,1222,1309,10,1328,1319,-9,0,0,-1,1300-1359,0,,0,78,71,47,1,201,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4354,,,,,C5,20445,C5,N10156,4354,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,12896,1289608,32896,LBB,"Lubbock, TX",TX,48,Texas,74,1219,1237,18,18,1,1,1200-1259,35,1312,1427,3,1411,1430,19,19,1,1,1400-1459,0,,0,112,113,75,1,457,2,5,0,1,0,13,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4351,,,,,C5,20445,C5,N14186,4351,12217,1221702,30255,HSV,"Huntsville, AL",AL,01,Alabama,51,12264,1226403,30852,IAD,"Washington, DC",VA,51,Virginia,38,1802,1852,50,50,1,3,1800-1859,15,1907,2158,6,2104,2204,60,60,1,4,2100-2159,0,,0,122,132,111,1,596,3,50,0,10,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4350,,,,,C5,20445,C5,N16149,4350,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,10781,1078105,30781,BTR,"Baton Rouge, LA",LA,22,Louisiana,72,1005,1001,-4,0,0,-1,1000-1059,30,1031,1115,3,1125,1118,-7,0,0,-1,1100-1159,0,,0,80,77,44,1,253,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4349,,,,,C5,20445,C5,N17159,4349,12264,1226403,30852,IAD,"Washington, DC",VA,51,Virginia,38,11995,1199502,31995,GSO,"Greensboro/High Point, NC",NC,37,North Carolina,36,1249,1239,-10,0,0,-1,1200-1259,25,1304,1350,5,1411,1355,-16,0,0,-2,1400-1459,0,,0,82,76,46,1,239,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4348,,,,,C5,20445,C5,N16149,4348,12448,1244807,32448,JAN,"Jackson/Vicksburg, MS",MS,28,Mississippi,53,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,1715,1707,-8,0,0,-1,1700-1759,15,1722,1840,18,1855,1858,3,3,0,0,1800-1859,0,,0,100,111,78,1,351,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4347,,,,,C5,20445,C5,N16151,4347,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,12448,1244807,32448,JAN,"Jackson/Vicksburg, MS",MS,28,Mississippi,53,0954,0944,-10,0,0,-1,0900-0959,29,1013,1105,2,1126,1107,-19,0,0,-2,1100-1159,0,,0,92,83,52,1,351,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4346,,,,,C5,20445,C5,N14153,4346,10747,1074707,30747,BRO,"Brownsville, TX",TX,48,Texas,74,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,0715,0702,-13,0,0,-1,0700-0759,15,0717,0812,8,0842,0820,-22,0,0,-2,0800-0859,0,,0,87,78,55,1,308,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4345,,,,,C5,20445,C5,N16170,4345,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,15370,1537003,34653,TUL,"Tulsa, OK",OK,40,Oklahoma,73,1805,1801,-4,0,0,-1,1800-1859,15,1816,1920,5,1945,1925,-20,0,0,-2,1900-1959,0,,0,100,84,64,1,429,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4344,,,,,C5,20445,C5,N21144,4344,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,12206,1220606,32206,HRL,"Harlingen/San Benito, TX",TX,48,Texas,74,1440,1434,-6,0,0,-1,1400-1459,15,1449,1542,2,1606,1544,-22,0,0,-2,1600-1659,0,,0,86,70,53,1,295,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4343,,,,,C5,20445,C5,N11150,4343,12266,1226604,31453,IAH,"Houston, TX",TX,48,Texas,74,14783,1478302,34783,SGF,"Springfield, MO",MO,29,Missouri,64,1955,1946,-9,0,0,-1,1900-1959,13,1959,2112,4,2144,2116,-28,0,0,-2,2100-2159,0,,0,109,90,73,1,513,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4340,,,,,C5,20445,C5,N12135,4340,12217,1221702,30255,HSV,"Huntsville, AL",AL,01,Alabama,51,12264,1226403,30852,IAD,"Washington, DC",VA,51,Virginia,38,1259,1253,-6,0,0,-1,1200-1259,14,1307,1533,6,1600,1539,-21,0,0,-2,1600-1659,0,,0,121,106,86,1,596,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4339,,,,,C5,20445,C5,N33182,4339,15096,1509602,35096,SYR,"Syracuse, NY",NY,36,New York,22,12264,1226403,30852,IAD,"Washington, DC",VA,51,Virginia,38,1019,1015,-4,0,0,-1,1000-1059,16,1031,1123,13,1155,1136,-19,0,0,-2,1100-1159,0,,0,96,81,52,1,295,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
